id;prefeitura;coordenadas
1;Prefeitura Bairro Centro;-12.974, -38.511
2;Prefeitura Bairro Suburbio Ilhas;-12.840, -38.466
3;Prefeitura Bairro Cajazeiras;-12.899, -38.412
4;Prefeitura Bairro Itapua Ipitanga;-12.938336, -38.361809
5;Prefeitura Bairro Cidade Baixa;-12.918, -38.499
6;Prefeitura Bairro Barra Pituba;-13.013, -38.483
7;Prefeitura Bairro Liberdade São Caetano;-12.945, -38.483
8;Prefeitura Bairro Cabula Tancredo Neves;-12.959, -38.467
9;Prefeitura Bairro Pau da Lima;-12.927, -38.432
10;Prefeitura Bairro Valeria;-12.870, -38.433